State/UTs,Total Cases,Active,Discharged,Deaths,Active Ratio,Discharge Ratio,Death Ratio,Latitude,Longitude
Andaman and Nicobar,7620,9,7482,129,0.12,98.19,1.69,11.7401,92.6586
Andhra Pradesh,2049314,11655,2023496,14163,0.57,98.74,0.69,15.9129,79.74
Arunachal Pradesh,54572,440,53856,276,0.81,98.69,0.51,28.218,94.7278
Assam,601787,4487,591432,5868,0.75,98.28,0.98,26.2006,92.9376
Bihar,725952,55,716237,9660,0.01,98.66,1.33,25.0961,85.3131
Chandigarh,65224,42,64363,819,0.06,98.68,1.26,30.7333,76.7794
Chhattisgarh,1005325,285,991475,13565,0.03,98.62,1.35,21.2787,81.8661
Dadra and Nagar Haveli and Daman and Diu,10670,0,10666,4,0,99.96,0.04,20.227,73.0169
Delhi,1438821,392,1413342,25087,0.03,98.23,1.74,28.7041,77.1025
Goa,176318,830,172176,3312,0.47,97.65,1.88,15.2993,74.124
Gujarat,825916,156,815678,10082,0.02,98.76,1.22,22.2587,71.1924
Haryana,770863,278,760711,9874,0.04,98.68,1.28,29.0588,76.0856
Himachal Pradesh,218898,1793,213430,3675,0.82,97.5,1.68,31.1048,77.1734
Jammu and Kashmir,329320,1388,323510,4422,0.42,98.24,1.34,33.2778,75.3412
Jharkhand,348215,78,343002,5135,0.02,98.5,1.47,23.6102,85.2799
Karnataka,2975067,12594,2924693,37780,0.42,98.31,1.27,15.3173,75.7139
Kerala,4664944,144075,4495904,24965,3.09,96.38,0.54,10.8505,76.2711
Ladakh,20795,73,20515,207,0.35,98.65,1,34.2268,77.5619
Lakshadweep,10361,4,10306,51,0.04,99.47,0.49,10.5593,72.6358
Madhya Pradesh,792519,115,781882,10522,0.01,98.66,1.33,22.9734,78.6569
Maharashtra,6547793,40252,6368530,139011,0.61,97.26,2.12,19.7515,75.7139
Manipur,120426,2207,116365,1854,1.83,96.63,1.54,24.6637,93.9063
Meghalaya,81161,1693,78068,1400,2.09,96.19,1.72,25.467,91.3662
Mizoram,93660,16841,76512,307,17.98,81.69,0.33,23.1645,92.9376
Nagaland,31219,365,30189,665,1.17,96.7,2.13,26.1584,94.5624
Odisha,1025874,5099,1012583,8192,0.5,98.7,0.8,20.9517,85.0985
Puducherry,126308,828,123640,1840,0.66,97.89,1.46,11.9416,79.8083
Punjab,601600,290,584797,16513,0.05,97.21,2.74,31.1471,75.341
Rajasthan,954322,76,945292,8954,0.01,99.05,0.94,27.0238,74.2179
Sikkim,31412,600,30425,387,1.91,96.86,1.23,27.533,88.5122
Tamil Nadu,2662177,17192,2609435,35550,0.65,98.02,1.34,11.1271,78.6569
Telangana,665749,4620,657213,3916,0.69,98.72,0.59,18.1124,79.0193
Tripura,84127,260,83054,813,0.31,98.72,0.97,23.9408,91.9882
Uttar Pradesh,1709800,159,1686749,22892,0.01,98.65,1.34,26.8467,80.9462
Uttarakhand,343530,209,335927,7394,0.06,97.79,2.15,30.0668, 79.0193
West Bengal,1568321,7580,1541963,18778,0.48,98.32,1.2,22.9868,87.855
